#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1.420000000000001,-1495978.0241839588,181156.8729926434,222.6508179913879
1.440000000000001,-1494952.9323870838,185330.54032796732,227.78046298295024
1.460000000000001,-1488099.6511370838,180462.86675535314,221.79784976627357
1.480000000000001,-1482062.3816058338,177535.00473554942,218.19936154495343
1.500000000000001,-1476422.8581683338,174790.64046162585,214.82640119097204
1.5200000000000011,-1473856.9909808338,175027.15339786548,215.1170873672643
1.5400000000000011,-1471565.1452777088,175487.23940578266,215.68255598193463
1.5600000000000012,-1470603.5632464588,177491.6693270977,218.1461001699894
1.5800000000000012,-1469418.2038714588,179177.54741335727,220.2181282898096
1.6000000000000012,-1467839.3347308338,180609.22120619076,221.9777266743774
1.6200000000000012,-1467723.4011370838,183341.1924754381,225.3354554084762
1.6400000000000012,-1464868.7077777088,183371.75792931253,225.37302187335825
1.6600000000000013,-1463297.1648089588,184861.8650879318,227.20443777428784
1.6800000000000013,-1461374.2155902088,185535.33877856666,228.0321704771018
1.7000000000000013,-1459673.8620745838,186756.15612995822,229.53261579510226
1.7200000000000013,-1457999.0769183338,187554.1530952548,230.51339380337103
1.7400000000000013,-1457058.9128558338,189005.94772582984,232.29772169948217
1.7600000000000013,-1455831.3171527088,189966.43412063143,233.47820730811188
1.7800000000000014,-1453430.6081683338,190035.6540696589,233.56328207241802
1.8000000000000014,-1452744.0241839588,191471.99718190575,235.32861928306335
1.8200000000000014,-1450651.0984027088,192050.83484679565,236.04003959763895
1.8400000000000014,-1449523.0808245838,193458.59160107403,237.77024275082383
1.8600000000000014,-1447762.9968402088,194122.82445755735,238.58661800829898
1.8800000000000014,-1446841.1765277088,195117.11603010006,239.80865186377167
1.9000000000000015,-1446254.5827777088,196846.36250134493,241.93398188835778
1.9200000000000015,-1444103.5456683338,197224.43983308203,242.39865775621007
1.9400000000000015,-1443442.8327777088,198492.5473715053,243.95722506898574
1.9600000000000015,-1442994.7448870838,199938.7180759349,245.73464087980904
1.9800000000000015,-1441042.5534808338,200094.58701522753,245.92621156801783
2.0000000000000013,-1439352.6296527088,200275.79058005562,246.1489197726001
2.019999999999999,-1438363.9499652088,200946.51242017047,246.97327031409085
2.039999999999997,-1436793.1062152088,201263.92033499127,247.36338044739318
2.0599999999999947,-1437102.1296527088,203820.4501318351,250.50548287543495
2.0799999999999925,-1434305.0964495838,202809.79327934637,249.26333527596543
2.0999999999999903,-1433640.3015277088,204293.936214542,251.0874208493064
2.119999999999988,-1431693.6628558338,204297.51244529802,251.09181621499138
2.139999999999986,-1430544.3386370838,204897.33638836048,251.82902971049648
2.1599999999999837,-1429977.6589495838,206168.3067616307,253.39111558985982
2.1799999999999815,-1428570.9753558338,206658.9216205562,253.99410568266705
2.1999999999999793,-1427595.3308245838,207745.7294944092,255.32984667949182
2.219999999999977,-1426567.2566058338,208153.8663105789,255.83146715058635
2.239999999999975,-1425843.6452777088,209334.47651430772,257.28249588191073
2.2599999999999727,-1424271.7819964588,209628.83281119922,257.6442744288746
2.2799999999999705,-1422920.3327777088,209792.73813363863,257.84572223215923
2.2999999999999683,-1422652.3913714588,210933.30104076225,259.2475308417173
2.319999999999966,-1421817.9675433338,211750.44678918808,260.25184365800544
2.339999999999964,-1420389.5319964588,211846.19481347068,260.3695227478209
2.3599999999999617,-1419113.3444964588,211556.3237580079,260.0132567859248
2.3799999999999595,-1416977.0905902088,211068.51037542318,259.41370984704577
2.3999999999999573,-1417086.9734027088,212608.14890918654,261.30600227454534
